user_id,order_id,Date,Amount,Merchant_id,Purchase_status
35890870,5053605500,15/03/2020,"100,000",14,
48452497,5051127876,15/03/2020,"10,000",13,
48452227,5052515444,15/03/2020,"10,000",12,
29618852,5050244955,15/03/2020,"20,000",14,
50577619,5049276115,15/03/2020,"50,000",12,
28195876,5053936982,15/03/2020,"20,000",13,
41795265,5051362318,15/03/2020,"10,000",12,
21220907,5050477707,15/03/2020,"30,000",12,
41930683,5051813040,15/03/2020,"10,000",12,
46021650,5047722832,15/03/2020,"10,000",13,
40715463,5049009766,15/03/2020,"20,000",13,
50366694,5051958510,15/03/2020,"30,000",12,
46277144,5046857489,15/03/2020,"10,000",14,
40929756,5048127713,15/03/2020,"10,000",12,
40287022,5047102763,15/03/2020,"50,000",13,
50447972,5050415514,15/03/2020,"50,000",12,
45289906,5049672000,15/03/2020,"50,000",13,
48190263,5053766482,15/03/2020,"50,000",14,
7756714,5046939817,15/03/2020,"30,000",12,
29812806,5047727776,15/03/2020,"50,000",12,
46609985,5046823324,15/03/2020,"10,000",12,
26616951,5051706581,15/03/2020,"20,000",12,
38399698,5048455231,15/03/2020,"30,000",12,
41140196,5048795268,15/03/2020,"10,000",12,
1686941,5051014205,15/03/2020,"20,000",13,
20022404,5050855424,15/03/2020,"50,000",13,
51811016,5056581793,15/03/2020,"30,000",14,
36894195,5058565861,15/03/2020,"20,000",13,
51499192,5055682404,15/03/2020,"10,000",13,
40082842,5062919972,15/03/2020,"10,000",14,
31446868,5048494531,15/03/2020,"100,000",14,Mua h_
40202257,5051664626,15/03/2020,"200,000",12,Mua h_
46788208,5060427039,16/03/2020,"10,000",15,
36870467,5063934694,16/03/2020,"50,000",14,Mua h_
38364005,5061132894,16/03/2020,"20,000",15,
39547715,5057981185,16/03/2020,"100,000",13,
46386942,5064948029,16/03/2020,"20,000",12,
49717545,5058207540,16/03/2020,"10,000",15,
15999858,5061424837,16/03/2020,"20,000",12,
49063929,5065486747,16/03/2020,"100,000",12,
50401059,5062864700,16/03/2020,"50,000",12,
54473266,5056912353,16/03/2020,"20,000",12,
50742971,5062849397,16/03/2020,"30,000",12,
47267414,5058204170,16/03/2020,"20,000",14,
46944860,5055769042,16/03/2020,"100,000",12,
40082989,5056143025,16/03/2020,"50,000",12,
36966961,5061251100,16/03/2020,"50,000",12,
51591188,5058987538,16/03/2020,"50,000",12,
53713384,5065597405,16/03/2020,"10,000",12,
48635881,5065551897,16/03/2020,"10,000",13,
45829676,5059074047,16/03/2020,"30,000",12,
41465537,5060774793,16/03/2020,"30,000",13,
52790368,5054876748,16/03/2020,"10,000",12,
42593517,5056773611,16/03/2020,"20,000",12,
35954126,5056522836,16/03/2020,"20,000",14,
50174970,5063911517,16/03/2020,"50,000",12,
42509052,5059142598,16/03/2020,"10,000",14,
40606326,5058421906,16/03/2020,"20,000",12,
37088926,5055375020,16/03/2020,"100,000",14,Mua h_
36164302,5059075826,16/03/2020,"200,000",12,Mua h_
42130889,5061012181,16/03/2020,"200,000",12,Mua h_
53516195,5059094806,16/03/2020,"200,000",14,Mua h_
51906687,5079552140,17/03/2020,"20,000",14,Mua h_
43873989,5081229480,17/03/2020,"20,000",13,Mua h_
46120401,5078175071,17/03/2020,"20,000",12,
46268504,5069568662,17/03/2020,"20,000",14,
35381371,5080648934,17/03/2020,"20,000",12,
45145934,5077072178,17/03/2020,"50,000",12,
54502930,5071412380,17/03/2020,"20,000",14,
39315224,5080604586,17/03/2020,"10,000",14,
39832678,5078059440,17/03/2020,"20,000",12,
46154563,5080384911,17/03/2020,"30,000",12,
37006871,5070552853,17/03/2020,"20,000",12,
53019065,5080169612,17/03/2020,"20,000",12,
47065197,5069293004,17/03/2020,"20,000",13,
31100048,5074839968,17/03/2020,"20,000",12,
46263755,5066533847,17/03/2020,"20,000",14,
50289006,5077757222,17/03/2020,"20,000",13,
38665335,5077624339,17/03/2020,"20,000",13,
52933436,5081587423,17/03/2020,"20,000",12,
4994215,5070133107,17/03/2020,"100,000",12,
43721838,5079207163,17/03/2020,"100,000",13,Mua h_
43480339,5079972270,17/03/2020,"200,000",14,Mua h_
43836272,5069557041,17/03/2020,"300,000",14,Mua h_
49937266,5079931520,17/03/2020,"500,000",12,Mua h_
12037657,5087926988,18/03/2020,"10,000",14,
37511184,5082914089,18/03/2020,"20,000",13,Mua h_
34729752,5086227396,18/03/2020,"50,000",13,Mua h_
52069128,5083692598,18/03/2020,"50,000",15,Mua h_
49692677,5083887943,18/03/2020,"50,000",13,Mua h_
51516830,5084342868,18/03/2020,"50,000",13,Mua h_
